Difficulty,Link,Tags,Description
Easy ,https://www.youtube.com/watch?v=WIbD1EQOi9c,"comic, Batman","The video provides step-by-step instructions on how to draw a comic book-style Batman. The artist begins by drawing the upper brow, eyes, nose, mouth, and chin, and then adds details to the head and body, including the ears, cheeks, belt, and bat symbol. Later on, the artist works on the legs, feet, hip, arms, and adds final details to the cape, spikes, and gloves. The tutorial is clear and easy to follow, making it a great guide for anyone looking to draw Batman."
Easy ,https://www.youtube.com/watch?v=7U8j9bjmM0E&t,"comic, Spiderman","The tutorial provides a step-by-step guide on how to draw the Iron Spider from Spiderman Far From Home. The artist starts by drawing the eyes, then moves to the body, legs, and hints of mechanical arms, before detailing the arms and completing the drawing. Viewers are invited to submit requests for future tutorials and subscribe for more lessons."
Easy ,https://www.youtube.com/watch?v=g8THwvHRnsI,"comic, Spiderman","This YouTube video provides a step-by-step tutorial on how to draw Miles Morales, focusing on details like his hood, jacket, eyes, spider symbol, legs, arms, and hands. The artist first demonstrates drawing the hood and jacket followed by the eyes, spider symbol, legs, and feet. They then add Nike symbols, toe caps, arms, hands, and cuffs to finish off the drawing. The tutorial's goal is to assist viewers in creating their version of the Spider-man character, Miles Morales from the movie Spider-man: Into the Spider-Verse."
Easy ,https://www.youtube.com/watch?v=g6OJH4VIgsA,"Food, boba","First thing we’re going to do is draw the cup. Okay, so we’ll just draw a rectangle shape. And then we’ll draw the top of the cup which is the circle. Then we’ll draw the handle which is just another curve going down and around. And then we can draw the face which is just a simple little curved line and two dots for the eyes."
Easy ,https://www.youtube.com/watch?v=I-9UxsWEi2k,"Food, watermelon","The YouTuber guides the audience in how to draw a cartoon watermelon step-by-step, paying close attention to drawing the face accurately. The video also includes coloring tips to add personality to the final product. The video takes a humorous tone, and the background music adds to the playful vibe."
Easy ,https://www.youtube.com/watch?v=UW6H5dAPuhY,"Food, ice cream ","In this YouTube tutorial, the YouTuber provides a simple and easy-to-follow guide on drawing a cute ice cream cone. The steps involve drawing a rainbow line, u-shapes to represent the scoop, and a cone with a v-shape that comes back up. The tutorial concludes with adding a face to the cone, a happy smile, and eyelashes, while encouraging viewers to use their imagination and add extra details to make their drawing more appealing."
Easy ,https://www.youtube.com/watch?v=WoV4f1ncE7U,"comic, Pikachu","This video teaches how to draw Pikachu's facial features, head shape, ears, body, legs, feet, tail, and final touches. The instructors give step-by-step instructions for adding details like the eyes, nose, mouth, chubby cheeks, and diagonal line for detailing. To finish the drawing, the video shows the process of drawing feet, tail, and coloring Pikachu's body. The instructor reminds viewers to have fun while drawing and encourages them not to worry if the drawing doesn't look exactly like the instructor's."
Easy ,https://www.youtube.com/watch?v=e6aeyu47Ip8,"comic, Minion","This YouTube video tutorial provides a step-by-step guide on how to draw and color Otto, a minion from the movie Minions: Rise of Gru. The tutorial recommends using markers and marker paper for best results and provides detailed instructions on how to draw Otto’s goggles, headband, head, body, and other features. For coloring, the tutorial suggests using alcohol-based markers and offers color suggestions for Otto’s body, eyes, overalls, and boots. The tutorial also offers tips on using white color pencils for highlights and encourages viewers to have fun and experiment with different coloring tools."
Easy ,https://www.youtube.com/watch?v=1gTJQOChf94,"Food, pizza",The video tutorial teaches young viewers how to draw a pizza using various crayons and colors. The instructor encourages children to have fun and be creative while drawing and adding toppings to their pizzas. They also suggest using unconventional colors and turning the pizza into other things like a spider or monkey pizza. The lesson ends with an invitation to post pictures on social media and visit the website for more art lessons and membership information.
Easy ,https://www.youtube.com/watch?v=43pgLvH4OCY,"Food, eggs bacon","The video demonstrates how to draw cute faces on breakfast items, specifically eggs and bacon. Through a step-by-step guide, the yolk and white of the egg are drawn along with the wavy texture of bacon. The faces are created by drawing circles for eyes and irises, and the bacon is given further expression by adding eyebrows. The coloring process is also briefly shown before the final version is revealed, with the egg appearing angry and the bacon doing a headstand. Overall, the video provides a fun exercise in drawing and coloring while creating cute breakfast items."
Easy ,https://www.youtube.com/watch?v=Vs9YUUhBQGg,"animal, Panda","The video provides step-by-step guidance on drawing a cartoon version of a panda. It starts with drawing the nose, mouth, eyes, head, ears, and paws, emphasizing symmetry and having fun while practicing. It also teaches how to draw paw prints and bamboo, allowing for the addition of more pandas and bamboo in the background. The recommended colors for the artwork are black and green."
Easy ,https://www.youtube.com/watch?v=8vHOpwC6vDc,"animal, Turtle",Learn How to draw a Tortoise for kids easy and step by step. Draw this cute Tortoise by following this drawing lesson. 
Easy ,https://www.youtube.com/watch?v=1nnP4iM6nzQ,"animal, Fish ","Learn to draw cute FISH for kids its easy and fun. Your kids would love it, color what ever you want."
Easy ,https://www.youtube.com/watch?v=BPmtyCZFF6M,Dog from numbers,How to Draw Easy Dog From Number 22 | Number Drawing 
Easy ,https://www.youtube.com/watch?v=7O01VV_yO0o,Dog from more numbers,today i am drawing [ Hindi ] how to draw dog from 553 113 number step by step - very easy drawing kids
Easy ,https://www.youtube.com/watch?v=w2PzJjPtM7Y,Draw pikachu from H,"How to Turn H into Pikachu, Easy Drawings"
Easy ,https://www.youtube.com/watch?v=bGy9joMan-0,Draw animals from alphabet,drawing animals using alphabets#fun & play# learning alphabets#
Easy ,https://www.youtube.com/watch?v=af6XvpE_QjQ,Draw animals from animals,"Hello everyone, who loves drawing! This video is about Ideas How to Draw Animals from Numbers using numbers 1 to 9 simple and easy for kids step by step! You will learn how to draw giraffe, fish, butterfly, bird, swan, monkey, bear!"
Easy ,https://www.youtube.com/watch?v=UEoZknNB52U,"comic, Minecraft","In this video we will draw a creeper from Minecraft. Let's draw and color the drawing step by step. We love to draw Minecraft, so watch our videos."
Easy ,https://www.youtube.com/watch?v=iRHT-KrEUUk,optical illusion,"The video is a tutorial on how to draw an optical illusion. -The artist shows the process step by step using a pencil, eraser, and ruler. -The first step is to draw a large square on the page, then divide it into four smaller squares. -Next, the artist draws diagonal lines in each small square, making sure they connect at the corners of the larger square. -Then, they draw a semi-circle in each small square, using the diagonal lines as guides. -By erasing certain parts of the lines and semi-circles, the optical illusion is created. -The final result is a set of four boxes, each with two curved lines that appear to bulge out or sink in, depending on how you look at it. -The artist encourages viewers to experiment with different shapes and colors to create their own optical illusions."
Easy ,https://www.youtube.com/watch?v=fmciU3hQt2E,optical illusion,"This description is about teaching beginners how to draw various types of optical illusions step by step, including a cube, square, hand, and easy illusions suitable for kids on paper."
Easy ,https://www.youtube.com/watch?v=_XJ1A5io8vc,3D shapes,"The YouTube video titled ""How to Draw 3D Shapes"" teaches viewers how to draw five different 3D shapes, including a cube, cone, pyramid, cylinder, and rectangular prism. The YouTuber emphasizes the importance of starting with pencil sketches and erasing mistakes before moving on to pen, and encourages viewers to use their creativity to turn basic shapes into different objects. The video aims to teach viewers basic drawing skills while also encouraging them to have fun and keep making art."
Easy ,https://www.youtube.com/watch?v=Z0FP1g7Ad2k,3D shapes,"The video is a shapes learning lesson for toddlers and kids, introducing various shapes and their names like triangle, square, cone, cylinder and more. The bot encourages the viewers to share the video and subscribe to the channel for future lessons."
Medium,https://www.youtube.com/watch?v=wFcK-NlUQIg,"Things, Sports Car",How to draw a sports car 
Medium,https://www.youtube.com/watch?v=HP2WXkOPNgo,"Things, Helicopter","""Hello and welcome to my channel. Today, I will show you how to draw a helicopter step by step. First, we'll start with the body of the helicopter which looks like an egg shape. Then we'll draw the windshield and the rotor blades on top. Next, we'll add the tail and the tail rotor. After that, we'll add details such as the windows and the landing gear. Finally, we'll color in the helicopter with shades of gray and black to give it a realistic look. That's it! You now know how to draw a helicopter. Thank you for watching!"""
Medium,https://www.youtube.com/watch?v=yLmPwjDtMnQ,"Comic, Charizard","This tutorial teaches viewers how to draw Charizard from Pokemon step-by-step, starting with the eye, brow, and mouth before moving on to the nostril, jaw, and horns. They then detail the neck, shoulder, arm, leg, and tail, adding claws and texture along the way. The artist finishes the drawing by adding wings and encourages viewers to check out their Pokemon playlist for more tutorials."
Medium,https://www.youtube.com/watch?v=CNb2cV24wr0,"Disney, Mirabel","Learn How to Draw cute Mirabel Madrigal from Disney's Encanto. Easy, step by step cartoon Hispanic girl drawing"
Medium,https://www.youtube.com/watch?v=89gPKm1JUeI,"comic, Lucario",Welcome to the best Online Education Program for artists. Learn how to draw with Cartooning Club How To Draw. I'll teach you the simple method of drawing using easy to follow step by step instructions. If you're looking for some easy to follow homeschool programs or art lesson ideas then SUBSCRIBE for more daily drawing videos like this every single day!
Medium,https://www.youtube.com/watch?v=94Vp38ln1vA,"optical illusion, 3D",How to draw 3D star from + | Easy star drawing for beginners | Star drawing
Medium,https://www.youtube.com/watch?v=E9mHvTNks9s,nature,Scenery Drawing / Simple Landscape Scenery Drawing / How to Draw Beautiful Landscape Scenery
Medium,https://www.youtube.com/watch?v=lFIRLErBrUM,nature sunset valley,Easy Scenery Drawing of mountains and sunset in the valley
Hard,https://www.youtube.com/watch?v=OAq2X-0FbGM,optical illusion,Learn how to draw a 3-D ladder
Hard,https://www.youtube.com/watch?v=KnZQYXPJnXU,optical illusion,How To Drawing 3D Hole - Optical Illusion step by step  - Easy and Cute 3D Trick Art on paper」
Hard,https://www.youtube.com/watch?v=fGAxmN8jDrw,nature,Hi! In this drawing tutorial I will show you how to draw Easy scenery drawing | cicle drawing easy step by step art video
